,,feature,feature,feature,feature,feature
,,A_sudden_spike_in_the_rank_of_sm_0,A_sudden_spike_in_the_rank_of_sm_1,A_sudden_spike_in_the_rank_of_sm_2,A_sudden_spike_in_the_rank_of_sm_3,A_sudden_spike_in_the_rank_of_sm_4
datetime,instrument,,,,,
2016-01-04,SH000300,,,,0.0,
2016-01-04,SH000852,,,,0.0,
2016-01-04,SH000905,,,,0.0,
2016-01-04,SH000906,,,,0.0,
2016-01-04,SH000985,,,,0.0,
2016-01-04,SH600000,,,,0.0,
2016-01-04,SH600004,,,,0.0,
2016-01-04,SH600005,,,,0.0,
2016-01-04,SH600006,,,,0.0,
2016-01-04,SH600007,,,,0.0,
2016-01-04,SH600008,,,,0.0,
2016-01-04,SH600009,,,,0.0,
2016-01-04,SH600010,,,,0.0,
2016-01-04,SH600011,,,,0.0,
2016-01-04,SH600012,,,,0.0,
2016-01-04,SH600015,,,,0.0,
2016-01-04,SH600016,,,,0.0,
2016-01-04,SH600017,,,,0.0,
2016-01-04,SH600018,,,,0.0,
2016-01-04,SH600019,,,,0.0,
2016-01-04,SH600020,,,,0.0,
2016-01-04,SH600021,,,,0.0,
2016-01-04,SH600022,,,,0.0,
2016-01-04,SH600023,,,,0.0,
2016-01-04,SH600026,,,,0.0,
2016-01-04,SH600027,,,,0.0,
2016-01-04,SH600028,,,,0.0,
2016-01-04,SH600029,,,,0.0,
2016-01-04,SH600030,,,,0.0,
2016-01-04,SH600031,,,,0.0,
2016-01-04,SH600033,,,,0.0,
2016-01-04,SH600035,,,,0.0,
2016-01-04,SH600036,,,,0.0,
2016-01-04,SH600037,,,,0.0,
2016-01-04,SH600038,,,,0.0,
2016-01-04,SH600039,,,,0.0,
2016-01-04,SH600048,,,,0.0,
2016-01-04,SH600050,,,,0.0,
2016-01-04,SH600051,,,,0.0,
2016-01-04,SH600052,,,,0.0,
2016-01-04,SH600053,,,,0.0,
2016-01-04,SH600054,,,,0.0,
2016-01-04,SH600055,,,,0.0,
2016-01-04,SH600056,,,,0.0,
2016-01-04,SH600057,,,,0.0,
2016-01-04,SH600058,,,,0.0,
2016-01-04,SH600059,,,,0.0,
2016-01-04,SH600060,,,,0.0,
2016-01-04,SH600061,,,,0.0,
2016-01-04,SH600062,,,,0.0,
2016-01-04,SH600063,,,,0.0,
2016-01-04,SH600064,,,,0.0,
2016-01-04,SH600066,,,,0.0,
2016-01-04,SH600067,,,,0.0,
2016-01-04,SH600068,,,,0.0,
2016-01-04,SH600069,,,,0.0,
2016-01-04,SH600070,,,,0.0,
2016-01-04,SH600071,,,,0.0,
2016-01-04,SH600072,,,,0.0,
2016-01-04,SH600073,,,,0.0,
2016-01-04,SH600074,,,,0.0,
2016-01-04,SH600075,,,,0.0,
2016-01-04,SH600076,,,,0.0,
2016-01-04,SH600077,,,,0.0,
2016-01-04,SH600078,,,,0.0,
2016-01-04,SH600079,,,,0.0,
2016-01-04,SH600080,,,,0.0,
2016-01-04,SH600081,,,,0.0,
2016-01-04,SH600082,,,,0.0,
2016-01-04,SH600083,,,,0.0,
2016-01-04,SH600084,,,,0.0,
2016-01-04,SH600085,,,,0.0,
2016-01-04,SH600086,,,,0.0,
2016-01-04,SH600088,,,,0.0,
2016-01-04,SH600089,,,,0.0,
2016-01-04,SH600090,,,,0.0,
2016-01-04,SH600091,,,,0.0,
2016-01-04,SH600093,,,,0.0,
2016-01-04,SH600094,,,,0.0,
2016-01-04,SH600095,,,,0.0,
2016-01-04,SH600096,,,,0.0,
2016-01-04,SH600097,,,,0.0,
2016-01-04,SH600098,,,,0.0,
2016-01-04,SH600099,,,,0.0,
2016-01-04,SH600100,,,,0.0,
2016-01-04,SH600101,,,,0.0,
2016-01-04,SH600103,,,,0.0,
2016-01-04,SH600104,,,,0.0,
2016-01-04,SH600105,,,,0.0,
2016-01-04,SH600106,,,,0.0,
2016-01-04,SH600107,,,,0.0,
2016-01-04,SH600108,,,,0.0,
2016-01-04,SH600109,,,,0.0,
2016-01-04,SH600110,,,,0.0,
2016-01-04,SH600111,,,,0.0,
2016-01-04,SH600112,,,,0.0,
2016-01-04,SH600113,,,,0.0,
2016-01-04,SH600114,,,,0.0,
2016-01-04,SH600115,,,,0.0,
2016-01-04,SH600116,,,,0.0,
2016-01-04,SH600117,,,,0.0,
2016-01-04,SH600118,,,,0.0,
2016-01-04,SH600119,,,,0.0,
2016-01-04,SH600120,,,,0.0,
2016-01-04,SH600121,,,,0.0,
2016-01-04,SH600122,,,,0.0,
2016-01-04,SH600123,,,,0.0,
2016-01-04,SH600125,,,,0.0,
2016-01-04,SH600126,,,,0.0,
2016-01-04,SH600127,,,,0.0,
2016-01-04,SH600128,,,,0.0,
2016-01-04,SH600129,,,,0.0,
2016-01-04,SH600130,,,,0.0,
2016-01-04,SH600131,,,,0.0,
2016-01-04,SH600132,,,,0.0,
