chain,config,terminal_agent,n,score_mean,score_std,ok_rate,healthy_rate,kv_flag_rate,text_collapse_rate,err_rate
r_c2_solo,ls10,construct,3,0.917,0.118,1.0,1.0,0.0,0.0,0.0
r_c2_solo,ls100,construct,3,0.433,0.094,1.0,1.0,0.0,0.0,0.0
r_c2_solo,ls40,construct,3,0.833,0.118,1.0,1.0,0.0,0.0,0.0
r_c2_solo,ls60,construct,3,0.667,0.471,1.0,0.667,0.0,0.333,0.0
r_c2_solo,ls80,construct,3,0.667,0.118,1.0,1.0,0.0,0.0,0.0
r_c3_finalizer,ls10,consistency,3,0.5,0.0,1.0,1.0,0.0,0.0,0.0
r_c3_finalizer,ls100,consistency,3,0.5,0.0,1.0,1.0,0.0,0.0,0.0
r_c3_finalizer,ls40,consistency,3,0.5,0.0,1.0,1.0,0.0,0.0,0.0
r_c3_finalizer,ls60,consistency,3,0.5,0.0,1.0,1.0,0.0,0.0,0.0
r_c3_finalizer,ls80,consistency,3,0.5,0.0,1.0,1.0,0.0,0.0,0.0
r_c4_hybrid,ls10,judger,3,0.567,0.094,1.0,1.0,0.0,0.0,0.0
r_c4_hybrid,ls100,judger,3,0.517,0.184,1.0,1.0,0.0,0.0,0.0
r_c4_hybrid,ls40,judger,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0
r_c4_hybrid,ls60,judger,3,0.517,0.409,0.667,0.667,0.0,0.0,0.333
r_c4_hybrid,ls80,judger,3,0.767,0.205,1.0,1.0,0.0,0.0,0.0
r_c4_latent,ls10,judger,3,0.633,0.236,1.0,1.0,0.0,0.0,0.0
r_c4_latent,ls100,judger,3,0.0,0.0,0.667,0.0,0.0,1.0,0.0
r_c4_latent,ls40,judger,3,0.767,0.205,1.0,1.0,0.0,0.0,0.0
r_c4_latent,ls60,judger,3,0.783,0.184,1.0,1.0,0.0,0.0,0.0
r_c4_latent,ls80,judger,3,0.6,0.294,1.0,1.0,0.0,0.0,0.0
